,L_T1,L_T2,L_T3,L_T4,L_T5,L_T6,L_T7,F_PU1,S_PU1,F_PU2,S_PU2,F_PU3,S_PU3,F_PU4,S_PU4,F_PU5,S_PU5,F_PU6,S_PU6,F_PU7,S_PU7,F_PU8,S_PU8,F_PU9,S_PU9,F_PU10,S_PU10,F_PU11,S_PU11,F_V2,S_V2,P_J280,P_J269,P_J300,P_J256,P_J289,P_J415,P_J302,P_J306,P_J307,P_J317,P_J14,P_J422,ATT_FLAG
0,0.34481058,0.15726404,0.54128724,0.43843502,0.23177443,0.99054396,0.30053183,0.9444192,-0.005652719,0.004452385,-0.00178961,-0.001054827,-0.002820772,-0.013913238,-4.96E-05,-0.006002093,0.002220877,0.003569829,-0.004347121,0.965836,0.9999603,0.8807457,0.99608254,-0.003343805,0.004855731,0.9069488,0.9825425,-0.001651758,0.000590071,0.5971686,0.99999905,0.9807887,0.045349453,0.4829192,0.07583939,0.4736706,0.60813063,0.069412254,0.71790063,0.06913444,0.416785,0.05654622,0.50636625,0
1,0.32989344,0.2246851,0.8147862,0.8397841,0.23444973,0.572031,0.55772555,0.8458174,-0.007132519,-0.004942403,0.007392042,-0.001691648,-0.007917562,-0.004147531,-0.005425293,-0.00695318,0.00556018,-0.001165012,-0.002879383,0.9092133,0.9999871,0.8828891,0.9889792,-0.005810814,-0.003868502,0.9069411,0.98374355,-0.001900021,0.002750526,0.6781141,0.99999976,0.97789365,0.13303553,0.52319044,0.37097597,0.50987333,0.7271105,0.15489821,0.789999,0.1560871,0.49501896,0.10738137,0.52350265,0
2,0.3348742,0.16151567,0.5450575,0.4459018,0.2236104,0.9983938,0.27893168,0.9682598,-0.002705645,0.007320548,-0.005783717,-0.001952562,-0.009737175,-0.013341599,-0.004229659,-0.007876108,0.003162265,0.002973256,-0.00256977,0.97877014,0.99999,0.8862784,0.9984296,0.00027695,0.00433662,0.91934705,0.9910387,-0.0034707,-0.00257572,0.59908074,0.99999976,0.98994327,0.04184304,0.49313825,0.05186927,0.47536558,0.6066802,0.07778387,0.71647847,0.08227888,0.41488427,0.05133438,0.51288027,0
3,0.3273462,0.22554693,0.8106115,0.83672017,0.23337993,0.573759,0.55795735,0.8455583,-0.007243723,-0.004518074,0.007185673,-0.00134085,-0.007335438,-0.004331816,-0.005451916,-0.007180039,0.005357069,-0.000891825,-0.003059189,0.90923977,0.99998575,0.8817463,0.9887215,-0.00559292,-0.003719461,0.9064231,0.98319817,-0.001802572,0.00276718,0.6761999,0.99999976,0.977244,0.13204025,0.5224203,0.36789963,0.5090905,0.72706664,0.15506631,0.788422,0.15568978,0.49422038,0.10779067,0.5248962,0
4,0.34077877,0.15768383,0.535772,0.43403935,0.23217863,0.9942014,0.2944127,0.94786197,-0.004513835,0.003752318,-0.001442576,-0.001857978,-0.004229147,-0.014271343,-0.000119253,-0.005490271,0.00238313,0.002160421,-0.004619931,0.9680925,0.9999656,0.8800166,0.99671704,-0.003587649,0.005091264,0.9075849,0.9836583,-0.002290637,0.000790141,0.59733117,0.9999993,0.9823286,0.0435774,0.48302367,0.06546421,0.4726345,0.6045221,0.07299903,0.7162317,0.06848399,0.41611648,0.05400611,0.50367326,0
5,0.33192816,0.16886404,0.54655004,0.4557331,0.22879902,0.9993625,0.2698375,0.9765859,-0.001841647,0.009320131,-0.007328557,-0.002818105,-0.013309838,-0.012008902,-0.006087178,-0.00869179,0.002918335,0.00281777,-0.003335706,0.98369217,0.99999577,0.8907677,0.99905866,0.002831259,0.002416655,0.9266234,0.99400234,-0.002217947,-0.004480535,0.60467815,0.99999976,0.9931862,0.041095022,0.5000981,0.04325399,0.48130277,0.61118686,0.0821568,0.71991366,0.093180954,0.41386268,0.050321706,0.5201397,0
6,0.34784535,0.15245312,0.54747367,0.43602866,0.23082995,0.9916042,0.3016795,0.9468241,-0.004453949,0.004764142,-0.002745572,-0.001028943,-0.004949351,-0.015082066,-0.000294979,-0.005729803,0.002070863,0.003091842,-0.003497162,0.9667653,0.99996513,0.8797251,0.9963058,-0.003016365,0.005525072,0.90721494,0.98332065,-0.00189736,-0.001069389,0.5973258,0.9999992,0.981387,0.044917546,0.48390254,0.07650185,0.4712434,0.60794413,0.07306408,0.7166155,0.071909614,0.41704664,0.055292513,0.5072326,0
7,0.3353072,0.22515269,0.8277626,0.85571533,0.233963,0.5742156,0.5497798,0.8469777,-0.007176472,-0.0056033,0.0073448,-0.001262031,-0.008978812,-0.003197427,-0.005182697,-0.006027766,0.006241003,-0.00029338,-0.003945998,0.90802515,0.99999064,0.8839517,0.98964214,-0.007500594,-0.005949882,0.9073903,0.98577803,-0.00274368,0.003681983,0.6869835,0.99999976,0.98044837,0.13633354,0.5260993,0.38175428,0.5119758,0.7247887,0.1555286,0.79412955,0.1595191,0.4959861,0.10710017,0.51718664,0
8,0.31047884,0.24218254,0.73614347,0.791182,0.22515906,0.62779236,0.53774416,0.8605272,-0.000759748,-0.002822953,0.001344856,0.000280487,0.000337935,-0.00178345,-0.004067539,-0.005781124,0.002711726,-0.000810146,-0.00372381,0.91627306,0.99996626,0.87072957,0.9871327,-0.004941887,-0.005222379,0.90101904,0.97982305,-0.002849504,0.008168765,0.6488211,0.99999964,0.9738631,0.11562774,0.5178114,0.30963403,0.50034404,0.71580523,0.14558397,0.7664474,0.14570636,0.48040327,0.11381107,0.5381828,0
9,0.33662024,0.16211066,0.52172506,0.43408626,0.25014007,0.9975028,0.29027855,0.9500882,-0.005897931,0.002938841,0.000871927,-0.004299398,-0.005873376,-0.012278435,-0.00209261,-0.006225336,0.003839502,0.000183979,-0.006877317,0.9710433,0.99997276,0.88130546,0.9975669,-0.00512302,0.002186531,0.91070545,0.98492694,-0.002783731,0.003025278,0.6000754,0.99999934,0.9848059,0.039439816,0.48431152,0.050278693,0.4809286,0.6048543,0.076208055,0.7191219,0.06743862,0.4166092,0.050939366,0.5033666,0
